-0.348592,Left,AdvertisementOnly,18.97769,11.53849
0.2330032,Left,AdvertisementOnly,1.228447,3.797852
-0.3000195,Right,AdvertisementOnly,2.122387,1.217411
0.2839551,Right,AdvertisementOnly,2.468735,2.943825
0.2144259,Left,AdvertisementOnly,1.195313,4.05455
-0.2213327,Right,AdvertisementOnly,1.675468,3.619148
0.1222942,Right,AdvertisementOnly,1.865433,0.8936005
0.1767198,Right,AdvertisementOnly,1.25103,1.351646
-0.1040919,Right,AdvertisementOnly,1.999352,6.40023
-0.0339145,Left,AdvertisementOnly,1.027618,5.450897
0.2582351,Left,AdvertisementOnly,1.117065,0.5921936
0.4156702,Left,AdvertisementOnly,1.720291,1.072311
0.1520558,Left,AdvertisementOnly,1.586426,0.9047699
0.04558169,Right,AdvertisementOnly,1.373993,2.65509
0.132109,Right,AdvertisementOnly,1.94368,2.189224
0.334483,Left,AdvertisementOnly,1.54129,1.318085
-0.3931544,Right,AdvertisementOnly,2.32338,5.618408
-0.02523484,Right,AdvertisementOnly,1.418625,1.49675
0.1198229,Left,AdvertisementOnly,1.228622,1.038651
0.1135873,Right,AdvertisementOnly,1.362732,1.474518
-0.225293,Left,AdvertisementOnly,1.787216,1.507858
-0.2194454,Right,AdvertisementOnly,2.256393,1.184006
0.03553021,Right,AdvertisementOnly,2.256393,1.016464
0.0630058,Left,AdvertisementOnly,1.731323,0.9719849
0.1903434,Left,AdvertisementOnly,1.793884,1.579437
0.426688,Left,AdvertisementOnly,1.318222,0.9829712
0.1175337,Right,AdvertisementOnly,1.262161,0.5584412
0.05497418,Right,AdvertisementOnly,1.965942,1.820663
-0.01557793,Right,AdvertisementOnly,1.697937,2.513153
0.1224938,Left,AdvertisementOnly,1.765076,1.11673
0.1746563,Right,AdvertisementOnly,2.457275,1.697968
-0.1137554,Right,AdvertisementOnly,1.776001,1.295837
0.005142845,Left,AdvertisementOnly,1.452026,1.150543
0.2738027,Left,AdvertisementOnly,2.133331,5.439789
0.1410744,Right,AdvertisementOnly,2.770233,0.8601379
0.04483869,Left,AdvertisementOnly,2.711212,0.7819519
-0.2680344,Right,AdvertisementOnly,2.289856,3.451263
0.1719881,Left,AdvertisementOnly,1.362793,0.6478271
-0.431803,Right,AdvertisementOnly,1.831818,3.987793
-0.08511679,Left,AdvertisementOnly,3.250366,0.502655
-0.07997959,Left,AdvertisementOnly,3.742065,0.4356689
-0.01109029,Right,AdvertisementOnly,1.652924,0.4915771
-0.006509587,Left,AdvertisementOnly,0.9940796,0.3352051
0.1542619,Right,AdvertisementOnly,1.083466,0.4691467
-0.09638533,Right,AdvertisementOnly,0.9717102,0.4021606
-0.09583798,Left,AdvertisementOnly,1.239929,0.6031494
-0.04243492,Left,AdvertisementOnly,1.697906,0.5584717
0.001449324,Right,AdvertisementOnly,1.764984,0.5696716
0.01675105,Left,AdvertisementOnly,1.474396,0.5249939
0.1752623,Left,AdvertisementOnly,1.318115,0.4579468
